# T[K]   Fvib[eV/atom]
20  0.64554556784E-01
10  0.64546477779E-01
30  0.64546477779E-01
60  0.64378876854E-01
50  0.64469254735E-01
40  0.64521689782E-01
90  0.63791693133E-01
70  0.64241181148E-01
80  0.64047838326E-01
120  0.62593228854E-01
110  0.63466828105E-01
100  0.63466828105E-01
160  0.61401948023E-01
140  0.61401948023E-01
130  0.62038291798E-01
150  0.62038291798E-01
180  0.56978691617E-01
190  0.56978691617E-01
170  0.58996331694E-01
200  0.55847359221E-01
220  0.54635586654E-01
210  0.54635586654E-01
230  0.51975199178E-01
240  
250  0.49007270271E-01
280  0.44001796430E-01
260  0.47411246141E-01
270  0.47411246141E-01
310  0.38364247693E-01
320  0.36350773330E-01
300  0.36350773330E-01
290  0.42191064863E-01
330  0.34272291443E-01
350  0.29925257811E-01
340  0.32130047147E-01
360  0.27659111973E-01
370  0.25332768680E-01
380  0.25332768680E-01
400  0.18003696951E-01
410  0.15447557999E-01
390  0.15447557999E-01
430  0.10171718634E-01
420  0.12836571000E-01
440  0.74539557308E-02
480  -0.39280408219E-02
450  
460  -0.10076512837E-02
470  -0.10076512837E-02
490  -0.68969599270E-02
510  -0.12977198530E-01
500  -0.99136058418E-02
520  -0.16086979931E-01
530  -0.22442182159E-01
540  -0.22442182159E-01
550  -0.25686190262E-01
560  -0.28973560256E-01
570  -0.28973560256E-01
580  -0.35675768604E-01
590  -0.39089342333E-01
600  -0.42543747479E-01
640  -0.56758091922E-01
620  -0.53146118558E-01
630  -0.53146118558E-01
610  -0.46038393057E-01
650  -0.64095598925E-01
670  -0.67820108358E-01
660  -0.67820108358E-01
680  -0.71581126864E-01
690  -0.75378173580E-01
700  -0.75378173580E-01
720  -0.86980848185E-01
730  -0.90917428201E-01
710  -0.83078486520E-01
760  -0.10292826852E+00
740  -0.94887800653E-01
750  -0.98891549554E-01
780  -0.11109903735E+00
800  -0.11939703679E+00
770  -0.11939703679E+00
790  -0.11523231976E+00
810  -0.12359282571E+00
820  -0.12781933169E+00
830  -0.12781933169E+00
840  -0.13636311372E+00
860  -0.14502569377E+00
850  -0.14067971761E+00
880  -0.15380449483E+00
870  -0.14940072354E+00
890  -0.14940072354E+00
910  -0.16718523173E+00
920  -0.17170097337E+00
900  -0.16269704538E+00
960  -0.19003393695E+00
940  -0.18081400049E+00
930  -0.17624398842E+00
950  -0.17624398842E+00
970  -0.19468333485E+00
980  -0.19935867656E+00
990  -0.20405971110E+00
1000  -0.20878619222E+00
