# T[K]   Fvib[eV/atom]
30  0.72461363409E-01
20  0.72461363409E-01
10  0.72462621361E-01
70  0.72180771884E-01
50  0.72385872395E-01
40  0.72432544902E-01
60  0.72432544902E-01
80  0.71484899872E-01
100  0.71484899872E-01
90  0.71776496209E-01
120  0.70701877907E-01
130  0.70701877907E-01
110  0.71127786746E-01
160  0.68270229631E-01
140  0.69634411745E-01
150  0.69634411745E-01
180  0.66604914581E-01
170  0.66604914581E-01
190  0.65659454162E-01
200  0.64639341040E-01
210  0.63545205624E-01
220  0.62377808717E-01
230  0.61138012265E-01
250  0.59826755440E-01
240  0.59826755440E-01
260  0.56993889925E-01
290  0.55474387317E-01
270  0.55474387317E-01
280  0.53887612962E-01
300  0.50516633005E-01
310  0.48734620516E-01
320  0.46889712366E-01
330  0.44982985138E-01
340  0.43015501489E-01
350  0.40988307899E-01
360  0.38902432929E-01
380  0.34558655965E-01
370  0.36758885909E-01
390  0.36758885909E-01
410  0.27627444116E-01
420  0.25209950519E-01
400  0.25209950519E-01
450  
440  0.22740400186E-01
430  0.22740400186E-01
480  0.96411794374E-02
470  
460  0.15027908293E-01
510  0.12088427291E-02
490  0.68766278168E-02
500  0.40656090637E-02
540  -0.76290191027E-02
550  -0.16929700202E-02
520  -0.16929700202E-02
530  -0.16929700202E-02
580  -0.20012749807E-01
560  -0.13737278051E-01
570  -0.16854414787E-01
590  -0.23211697095E-01
600  -0.26450685204E-01
610  -0.29729156815E-01
620  -0.33046568307E-01
630  -0.33046568307E-01
640  -0.39796102412E-01
650  -0.43227202527E-01
660  -0.46695196747E-01
670  -0.50199603843E-01
690  -0.57315788138E-01
680  -0.64572126264E-01
710  -0.64572126264E-01
700  -0.60926658215E-01
730  -0.71965154393E-01
740  -0.75711887495E-01
720  -0.68251764387E-01
760  -0.83303793183E-01
770  -0.87148192714E-01
750  -0.79491564031E-01
780  
800  -0.98870714563E-01
790  -0.94932015327E-01
810  -0.10284013602E+00
830  -0.11086978066E+00
820  -0.10683993667E+00
850  -0.11901828986E+00
860  -0.11901828986E+00
840  -0.12728311238E+00
870  -0.12728311238E+00
890  -0.13566179909E+00
900  -0.13145837195E+00
880  -0.13145837195E+00
920  -0.14415199729E+00
910  -0.14415199729E+00
930  -0.14415199729E+00
940  
960  -0.16145796801E+00
950  -0.16145796801E+00
980  -0.17471395767E+00
990  -0.17918393881E+00
970  -0.17026947132E+00
1000  -0.18367917409E+00
