# T[K]   Fvib[eV/atom]
10  0.70144490611E-01
30  0.70144490611E-01
20  0.70151421901E-01
50  
60  0.69995169346E-01
70  0.69870339447E-01
40  0.70122950865E-01
90  0.69460594223E-01
80  
100  0.69163758165E-01
120  0.68364285534E-01
110  0.68799454061E-01
130  0.67855704952E-01
160  0.65874276418E-01
140  0.67271894385E-01
150  0.66611650006E-01
170  0.65059493864E-01
190  0.63198197685E-01
180  0.64167358887E-01
200  0.62152550799E-01
230  0.58564415888E-01
210  0.61031127545E-01
220  0.59834768677E-01
260  0.54319834513E-01
240  0.57221086948E-01
250  0.57221086948E-01
280  0.51139995815E-01
270  0.52764163163E-01
290  0.49448493411E-01
300  0.47690816421E-01
310  0.45868119216E-01
320  0.43981545581E-01
330  0.42032225174E-01
350  0.37949776012E-01
340  0.40021270747E-01
390  0.29079522622E-01
380  0.31382670419E-01
360  0.35818814022E-01
370  0.35818814022E-01
400  0.26720974335E-01
410  0.21841484969E-01
420  0.21841484969E-01
430  0.19322389302E-01
450  0.14129935094E-01
440  0.16751584385E-01
470  0.87374509572E-02
460  0.11458283827E-01
480  0.59682353179E-02
510  -0.26220320983E-02
500  -0.26220320983E-02
490  0.31514147147E-02
530  -0.85770671457E-02
540  -0.11620943742E-01
520  -0.14708169750E-01
550  -0.14708169750E-01
560  -0.17838099355E-01
570  -0.24223569036E-01
580  -0.24223569036E-01
600  -0.30772510876E-01
590  -0.27477898886E-01
610  -0.34106837597E-01
620  -0.44342642706E-01
630  -0.40892436258E-01
640  -0.40892436258E-01
660  -0.51355303550E-01
650  -0.47830432030E-01
670  -0.54916768682E-01
710  -0.69519195733E-01
680  -0.58514350549E-01
690  -0.62147583614E-01
700  -0.65816013318E-01
720  -0.73256697229E-01
730  -0.73256697229E-01
740  -0.80832972504E-01
750  -0.84670927660E-01
770  -0.84670927660E-01
760  -0.88541564065E-01
800  -0.10434331332E+00
790  -0.10034573554E+00
780  -0.96379342105E-01
810  -0.10837172126E+00
820  -0.11243061275E+00
830  -0.11651964847E+00
850  -0.12478683073E+00
870  -0.13317069201E+00
840  
860  -0.12896433336E+00
890  -0.14166876038E+00
900  -0.14595987677E+00
880  -0.13740560090E+00
920  -0.15462483433E+00
910  -0.15027866217E+00
930  -0.15027866217E+00
940  -0.16339823713E+00
950  -0.17227793398E+00
960  -0.17227793398E+00
990  -0.18126185437E+00
970  -0.18126185437E+00
980  -0.18126185437E+00
1000  -0.19034800419E+00
