# T[K]   Fvib[eV/atom]
10  0.66271045147E-01
30  0.66271045147E-01
20  0.66278496935E-01
50  0.66199366347E-01
40  0.66199366347E-01
60  0.66114361180E-01
80  0.65799839160E-01
90  0.65555055681E-01
70  0.65983923421E-01
110  0.63868992088E-01
120  0.64403815244E-01
130  0.64403815244E-01
100  0.65243726501E-01
140  0.63254872907E-01
160  0.61784658448E-01
150  0.62560297330E-01
180  0.59989911187E-01
190  0.58971483125E-01
170  0.58971483125E-01
200  0.57873216408E-01
220  0.55440799995E-01
210  0.56695986515E-01
240  0.52701047193E-01
250  0.51218883301E-01
230  0.51218883301E-01
260  
270  0.48036262193E-01
280  0.46338369332E-01
290  0.44571135808E-01
320  0.38866099726E-01
300  0.38866099726E-01
310  0.40833744956E-01
330  0.36834130534E-01
340  0.34739041112E-01
350  0.32582010326E-01
380  0.25750661487E-01
360  0.25750661487E-01
370  0.28086708551E-01
400  0.20907127242E-01
410  0.18401697821E-01
390  0.23357120156E-01
420  0.15841819664E-01
450  0.78449701505E-02
430  0.78449701505E-02
440  0.10562534265E-01
480  
470  0.22584168208E-02
460  0.50766447256E-02
500  -0.64874482091E-02
510  -0.94971659434E-02
490  -0.94971659434E-02
520  -0.12552837191E-01
540  -0.18799157959E-01
530  -0.18799157959E-01
550  -0.21988415332E-01
570  -0.28495783922E-01
560  -0.25220840637E-01
590  -0.35170710782E-01
600  -0.42008332886E-01
610  -0.42008332886E-01
580  -0.31812612584E-01
630  -0.49004037779E-01
640  -0.49004037779E-01
620  -0.45486703937E-01
660  -0.59784482454E-01
670  -0.56153446938E-01
650  -0.56153446938E-01
680  -0.70896941679E-01
690  -0.70896941679E-01
700  -0.74672624132E-01
720  -0.82328543746E-01
710  -0.82328543746E-01
730  -0.86207905509E-01
770  -0.10205828714E+00
760  -0.98046558112E-01
750  -0.98046558112E-01
740  -0.90120968677E-01
800  -0.11428461422E+00
790  -0.11017768764E+00
780  -0.10610212252E+00
810  -0.12678999933E+00
830  -0.12678999933E+00
820  -0.12259111870E+00
850  -0.13527732972E+00
840  -0.13101884646E+00
860  -0.13956512565E+00
880  -0.14822739501E+00
870  -0.15260125429E+00
890  -0.15260125429E+00
910  -0.16143293296E+00
930  -0.17037464177E+00
920  -0.17037464177E+00
900  -0.15700319755E+00
940  -0.17488605984E+00
960  -0.18398867506E+00
950  -0.17942415908E+00
990  -0.19783815353E+00
980  -0.19319592443E+00
970  -0.18857934835E+00
1000  -0.20250579052E+00
