# T[K]   Fvib[eV/atom]
20  0.72683057462E-01
10  0.72684394932E-01
30  0.72675654034E-01
40  0.72675654034E-01
60  
70  0.72393841744E-01
50  0.72393841744E-01
90  0.71980098663E-01
100  0.71682651118E-01
80  0.72215493417E-01
110  0.71319121440E-01
130  0.70382007353E-01
120  0.70382007353E-01
150  
140  0.68425095129E-01
160  0.68425095129E-01
180  0.66744653836E-01
170  0.67622544123E-01
190  0.64764203582E-01
200  0.64764203582E-01
230  0.61241372949E-01
220  0.62488212816E-01
210  0.63662779804E-01
240  0.57076920453E-01
260  0.57076920453E-01
250  0.58534707271E-01
290  0.52298567452E-01
270  0.55550910850E-01
280  0.53957762299E-01
320  0.46935631289E-01
310  0.48786414441E-01
300  0.48786414441E-01
350  
340  0.43050010887E-01
360  
330  0.45023143980E-01
370  0.36777067856E-01
390  0.32310483836E-01
380  0.32310483836E-01
400  0.29994697346E-01
420  0.25202743256E-01
410  0.27625150466E-01
440  0.20202840816E-01
450  0.20202840816E-01
430  0.22728354293E-01
480  0.96059543812E-02
460  0.12327810920E-01
470  0.12327810920E-01
520  -0.17456885099E-02
490  0.68369495606E-02
500  0.11604200591E-02
510  0.11604200591E-02
530  
540  -0.76901871323E-02
550  -0.76901871323E-02
560  -0.13806719180E-01
570  -0.16927930825E-01
580  -0.16927930825E-01
610  -0.29818599298E-01
600  -0.26536199057E-01
590  -0.23293247960E-01
620  -0.33139906415E-01
630  -0.36499591351E-01
640  -0.39897137853E-01
650  -0.43332042075E-01
660  -0.46803812198E-01
680  -0.50311968056E-01
670  -0.50311968056E-01
690  -0.57435572452E-01
700  -0.57435572452E-01
710  -0.64699233660E-01
720  -0.68382499114E-01
730  
740  -0.75849812466E-01
770  -0.87296752987E-01
750  -0.79633053412E-01
760  -0.79633053412E-01
800  -0.99029745945E-01
780  -0.91176456769E-01
790  -0.91176456769E-01
830  -0.11103913481E+00
840  -0.11510210367E+00
820  -0.10700586548E+00
810  -0.10700586548E+00
850  -0.11919445039E+00
870  -0.12746602330E+00
860  -0.12331585985E+00
880  -0.13164463815E+00
900  -0.14008604162E+00
890  -0.14008604162E+00
930  -0.15295430446E+00
920  -0.15295430446E+00
910  -0.14434825445E+00
940  -0.15729759855E+00
960  -0.16606340545E+00
950  -0.16166738518E+00
1000  -0.18390481079E+00
990  -0.17940635056E+00
980  
970  -0.17048540528E+00
