# T[K]   Fvib[eV/atom]
30  0.67436163571E-01
10  0.67437600611E-01
20  0.67437600611E-01
60  0.67273054584E-01
40  0.67405187977E-01
50  0.67356620270E-01
80  0.66966542462E-01
90  0.67145671745E-01
70  0.67145671745E-01
100  0.66426491643E-01
110  0.65610744667E-01
120  0.65610744667E-01
160  0.63061291467E-01
130  0.63817109384E-01
140  0.63817109384E-01
150  0.63817109384E-01
180  
170  0.62225665919E-01
190  0.60315670152E-01
220  0.56862750643E-01
200  0.59242301887E-01
210  0.58091018499E-01
230  0.55558532953E-01
240  0.54179477062E-01
250  0.54179477062E-01
270  0.49605122227E-01
280  0.47938689687E-01
260  0.51201555565E-01
310  0.42531798469E-01
290  0.46203500818E-01
300  0.44400794216E-01
320  0.40597727654E-01
350  0.36539124434E-01
340  0.36539124434E-01
330  0.38599777845E-01
360  0.32234293426E-01
380  0.27692160466E-01
370  0.29992347712E-01
400  0.22921240058E-01
410  0.20452530349E-01
390  0.25334782952E-01
420  0.17929626255E-01
430  0.15353474397E-01
440  0.12724995985E-01
460  0.73146202581E-02
470  0.45344429221E-02
450  0.17053801716E-02
480  0.17053801716E-02
490  -0.11717657069E-02
500  -0.11717657069E-02
510  -0.70672068178E-02
520  -0.10084004675E-01
540  -0.16252162791E-01
530  -0.13145889635E-01
550  -0.19402144032E-01
560  -0.22595171431E-01
570  -0.25830600656E-01
600  -0.35785107916E-01
590  -0.32426171796E-01
580  -0.32426171796E-01
640  
620  
630  -0.46099606928E-01
610  -0.46099606928E-01
650  -0.53168545243E-01
660  -0.56759226684E-01
670  -0.60386715601E-01
690  -0.67750186649E-01
680  -0.67750186649E-01
700  -0.71485233177E-01
730  -0.82898234265E-01
720  
710  -0.75255215219E-01
760  -0.94614095385E-01
740  -0.86770420902E-01
750  -0.90675841673E-01
800  -0.11068772680E+00
780  -0.10258754184E+00
790  -0.10662197635E+00
770  -0.98584789897E-01
830  -0.12306932572E+00
820  -0.12306932572E+00
810  -0.11478443453E+00
850  -0.13147393143E+00
840  -0.12725682967E+00
860  -0.13572030880E+00
870  -0.13999564624E+00
880  -0.14429963465E+00
890  -0.14429963465E+00
920  -0.16179613218E+00
910  -0.15738050792E+00
900  -0.15738050792E+00
940  -0.17070869502E+00
960  -0.17972787634E+00
930  -0.16623895255E+00
950  -0.17520509082E+00
990  
970  -0.18885158691E+00
980  -0.18885158691E+00
1000  -0.19807781530E+00
