# T[K]   Fvib[eV/atom]
20  0.75363906554E-01
40  0.75333132800E-01
10  0.75365227616E-01
30  0.75365227616E-01
70  0.75071095093E-01
50  0.75283859043E-01
60  0.75283859043E-01
100  0.74365587153E-01
80  0.74893032310E-01
90  0.74893032310E-01
120  0.73583203922E-01
130  0.73089395687E-01
110  0.74007844121E-01
160  0.71178854539E-01
150  0.71888144223E-01
140  0.72524756565E-01
200  0.67612276917E-01
170  0.70396547319E-01
180  0.69541181283E-01
190  0.68612958393E-01
220  0.65395884485E-01
210  0.66539692256E-01
230  0.64181631563E-01
260  0.60125013617E-01
250  0.61545263183E-01
240  0.62897787289E-01
280  0.57085298813E-01
270  0.55467857344E-01
290  0.55467857344E-01
320  0.50237468423E-01
300  0.53786723057E-01
310  0.53786723057E-01
360  0.42419245501E-01
350  0.42419245501E-01
340  0.46445657145E-01
330  0.48371380260E-01
380  0.38165956044E-01
390  0.35956570965E-01
370  0.35956570965E-01
410  0.31376836408E-01
400  0.33693236340E-01
420  0.29008236089E-01
440  0.24117796941E-01
450  0.21597591070E-01
430  0.21597591070E-01
470  0.16411145677E-01
480  0.13746425351E-01
460  0.19028451021E-01
500  0.82776501670E-02
520  0.54750061820E-02
510  0.54750061820E-02
490  0.11035022118E-01
530  -0.26339630365E-03
540  -0.31978453568E-02
550  -0.31978453568E-02
570  -0.91940851289E-02
560  -0.91940851289E-02
580  -0.15356086848E-01
590  -0.24899828370E-01
610  -0.24899828370E-01
600  -0.21679221729E-01
640  -0.34791467958E-01
620  -0.28159081925E-01
630  -0.31456463873E-01
650  -0.38163599828E-01
670  -0.45017326929E-01
660  -0.41572376683E-01
680  -0.48497989848E-01
690  -0.52013915272E-01
700  -0.55564663269E-01
710  -0.59149803841E-01
740  -0.70107423870E-01
720  -0.66421590613E-01
730  -0.66421590613E-01
750  -0.73826023269E-01
760  -0.77577004234E-01
770  -0.81359990488E-01
790  -0.89020513801E-01
800  -0.92897337662E-01
780  -0.92897337662E-01
810  -0.96804739972E-01
820  -0.10074238248E+00
830  -0.10470993388E+00
840  -0.10470993388E+00
870  -0.12087283555E+00
860  -0.11678882895E+00
850  -0.11273347188E+00
880  -0.12498519237E+00
900  -0.13329378862E+00
890  -0.12912560596E+00
910  -0.13748945819E+00
920  -0.14171233790E+00
930  -0.14596215627E+00
960  -0.15887060445E+00
950  -0.15454154851E+00
940  -0.15023864694E+00
990  -0.17201220341E+00
1000  -0.17644340426E+00
980  -0.17644340426E+00
970  -0.16322556297E+00
