# T[K]   Fvib[eV/atom]
10  0.69872203075E-01
20  0.69870811707E-01
30  0.69863301211E-01
40  0.69840883061E-01
50  0.69840883061E-01
60  0.69711706068E-01
70  0.69586801247E-01
100  0.69586801247E-01
80  0.69411200138E-01
90  0.69178329559E-01
130  
120  0.68519784125E-01
110  0.68519784125E-01
140  0.66996805443E-01
150  0.66337968464E-01
160  0.66337968464E-01
170  0.64788179904E-01
180  0.63896957266E-01
190  0.62928509180E-01
210  0.60762247009E-01
220  0.61883369973E-01
200  0.61883369973E-01
230  0.58295520912E-01
260  0.54049454732E-01
240  0.56951885915E-01
250  0.55536157169E-01
290  0.49175039622E-01
270  0.52492925180E-01
280  0.50867730584E-01
300  0.47416020430E-01
310  0.43703634070E-01
320  0.43703634070E-01
350  0.37666218717E-01
330  0.39739716164E-01
340  0.39739716164E-01
380  0.31092452903E-01
370  0.33341541556E-01
360  0.35533141506E-01
410  0.24010240500E-01
420  0.21541063355E-01
390  0.26425827675E-01
400  0.26425827675E-01
450  0.13821026202E-01
430  0.19019211342E-01
440  0.19019211342E-01
480  0.56502363738E-02
460  0.56502363738E-02
470  0.84225435670E-02
510  -0.29496406715E-02
490  0.28302665967E-02
500  0.28302665967E-02
530  -0.89113358964E-02
520  -0.59081178570E-02
540  -0.11958611834E-01
560  
570  -0.21358222399E-01
580  -0.24575249835E-01
550  -0.24575249835E-01
610  -0.34469415669E-01
600  -0.34469415669E-01
590  -0.27833177827E-01
640  -0.44716405816E-01
620  -0.44716405816E-01
630  -0.41262441236E-01
660  -0.51736666380E-01
670  -0.48207981463E-01
650  -0.48207981463E-01
680  -0.58903417184E-01
690  -0.62540538688E-01
700  -0.62540538688E-01
720  -0.69919996184E-01
710  -0.69919996184E-01
730  -0.81245699835E-01
740  -0.81245699835E-01
760  -0.88962339741E-01
770  -0.92869321880E-01
750  -0.92869321880E-01
800  
790  -0.10077871599E+00
780  -0.96808237484E-01
820  -0.11696912434E+00
830  -0.11696912434E+00
810  -0.10881291945E+00
860  -0.12942632973E+00
840  -0.12109213220E+00
850  -0.12109213220E+00
870  -0.13363688784E+00
900  -0.13787600849E+00
890  -0.13787600849E+00
880  -0.13787600849E+00
930  -0.15948975433E+00
920  -0.15511220443E+00
910  -0.15076177503E+00
940  -0.16389415296E+00
960  -0.17278243516E+00
950  -0.16832513375E+00
970  -0.17726580061E+00
990  -0.18630972093E+00
980  -0.18177497825E+00
1000  -0.19086978601E+00
