# T[K]   Fvib[eV/atom]
30  0.71445936832E-01
10  0.71454511838E-01
20  0.71453193906E-01
60  0.71297548401E-01
50  0.71377719659E-01
40  0.71377719659E-01
100  0.70486871520E-01
70  0.71175215027E-01
90  0.71175215027E-01
80  0.71003380699E-01
120  0.69709178017E-01
110  0.69214255950E-01
130  0.69214255950E-01
140  0.68645833732E-01
150  0.68645833732E-01
160  0.67283792177E-01
180  0.65618208149E-01
170  0.66489003355E-01
190  0.66489003355E-01
220  0.61382763697E-01
200  0.63649772680E-01
210  0.62553222629E-01
240  0.58823697860E-01
230  0.60139270365E-01
260  0.57437061656E-01
250  0.57437061656E-01
270  0.54454864126E-01
280  0.52861499542E-01
290  0.51201444701E-01
310  0.47685742272E-01
320  0.45832320916E-01
300  0.49475819918E-01
340  0.41939822352E-01
350  0.39902893900E-01
330  0.43916653326E-01
370  0.35652913277E-01
380  0.35652913277E-01
360  0.37806915162E-01
420  0.26476468675E-01
410  0.26476468675E-01
390  
400  0.28852720952E-01
440  0.19031992841E-01
430  0.21565220562E-01
450  0.16448171385E-01
470  0.11132043911E-01
460  0.13814585655E-01
480  0.84013336377E-02
500  0.27984563131E-02
490  0.56232219970E-02
510  -0.72235433749E-04
530  -0.59485788713E-02
520  -0.29881441008E-02
540  -0.29881441008E-02
550  -0.12000352014E-01
570  -0.18222375443E-01
560  -0.15090395783E-01
580  -0.15090395783E-01
590  -0.24609730558E-01
610  -0.27863937913E-01
600  -0.27863937913E-01
640  -0.41271339210E-01
620  -0.34490600621E-01
630  -0.37861972911E-01
660  -0.48202030056E-01
650  -0.51722373023E-01
670  -0.51722373023E-01
700  
680  -0.55278746079E-01
690  -0.58870687060E-01
740  -0.77348473231E-01
710  -0.73585258291E-01
720  -0.69855456041E-01
730  -0.69855456041E-01
770  -0.88834617432E-01
760  -0.84973541630E-01
750  -0.81144698735E-01
790  -0.10060752224E+00
800  -0.10060752224E+00
780  -0.92727550078E-01
820  -0.10861060865E+00
830  -0.10861060865E+00
810  -0.10459384951E+00
840  -0.11673407929E+00
850  -0.12084013652E+00
860  -0.12497531669E+00
890  -0.13755251944E+00
900  -0.14180114654E+00
880  -0.13333180950E+00
870  -0.13333180950E+00
910  -0.14607740416E+00
930  -0.15038101121E+00
920  -0.15038101121E+00
940  -0.15906917628E+00
960  -0.15906917628E+00
950  -0.16345319872E+00
970  
980  -0.17676191706E+00
990  -0.17676191706E+00
1000  -0.18576244333E+00
