# T[K]   Fvib[eV/atom]
40  0.73661395048E-01
20  0.73690386562E-01
10  0.73683365034E-01
30  0.73683365034E-01
70  0.73405613881E-01
60  
50  0.73613978158E-01
90  0.72996710917E-01
100  0.72702843889E-01
80  0.73229332090E-01
110  0.72343762892E-01
120  0.71916351752E-01
130  0.71418249978E-01
140  0.70847751626E-01
150  0.70203706122E-01
160  0.70203706122E-01
190  0.66883619255E-01
170  0.68692606561E-01
180  0.67825252151E-01
200  0.67825252151E-01
220  0.63618383972E-01
230  0.62385638780E-01
210  0.64779505866E-01
240  0.61082184425E-01
260  0.58267069351E-01
250  0.58267069351E-01
290  0.55181215889E-01
280  0.55181215889E-01
270  0.56757458559E-01
300  0.51833106707E-01
320  
310  0.50063378639E-01
350  0.42371264693E-01
330  0.46337879417E-01
340  0.40300085893E-01
360  0.40300085893E-01
370  0.38171649732E-01
390  0.35986925181E-01
380  0.35986925181E-01
410  0.29104410020E-01
420  0.26703817992E-01
400  0.31452386910E-01
430  0.21748234134E-01
440  0.21748234134E-01
450  0.19194913656E-01
480  0.11242442149E-01
460  0.16592321196E-01
470  0.16592321196E-01
500  0.57046476345E-02
490  0.57046476345E-02
520  -0.15311267637E-04
510  0.28670906131E-02
530  -0.29418836297E-02
540  -0.59119690327E-02
550  -0.89249265140E-02
570  -0.15076973506E-01
560  -0.11980131131E-01
580  -0.18214859379E-01
590  -0.21393209166E-01
610  -0.27869052926E-01
600  -0.24611457523E-01
640  -0.37872604794E-01
620  -0.31165457253E-01
630  -0.34500145381E-01
670  -0.48211666684E-01
680  -0.51730324997E-01
650  -0.41282335197E-01
660  -0.44728848145E-01
700  -0.58873351356E-01
690  -0.55284368069E-01
710  -0.55284368069E-01
730  -0.69845647544E-01
720  -0.69845647544E-01
740  -0.73570144778E-01
760  -0.81117342622E-01
750  -0.81117342622E-01
770  -0.84939275619E-01
790  -0.92677952653E-01
780  -0.88792933432E-01
800  -0.96593977601E-01
820  -0.10451765926E+00
830  -0.10852464127E+00
840  
810  -0.10054066010E+00
860  -0.12072224819E+00
870  -0.12484595802E+00
850  -0.11662725276E+00
890  -0.13317832146E+00
900  
880  -0.12899808091E+00
930  -0.15017475199E+00
910  -0.15017475199E+00
920  -0.14588488117E+00
950  -0.15883440423E+00
940  -0.15883440423E+00
960  -0.16320366472E+00
970  -0.16759887555E+00
980  
990  -0.17646615852E+00
1000  -0.18093774701E+00
