# T[K]   Fvib[eV/atom]
20  0.66048465464E-01
30  0.66040882909E-01
10  0.66049830006E-01
60  0.65969389673E-01
50  0.65969389673E-01
40  0.66017986588E-01
80  0.65573802157E-01
70  0.65331437053E-01
90  0.65331437053E-01
120  0.65022947122E-01
100  0.65022947122E-01
110  0.65022947122E-01
150  0.62356533572E-01
160  0.61584334949E-01
130  0.63658202610E-01
140  0.63658202610E-01
180  0.59796145302E-01
190  0.58780791260E-01
170  0.60730814534E-01
210  0.57685444463E-01
200  0.57685444463E-01
220  0.55258381893E-01
250  0.51043271393E-01
230  0.53928773800E-01
240  0.52523327142E-01
270  0.47864406096E-01
260  0.49489869971E-01
280  0.49489869971E-01
310  0.40667713388E-01
290  0.42568547928E-01
300  0.42568547928E-01
320  0.38701207195E-01
330  0.36670261907E-01
350  0.34576086854E-01
340  0.34576086854E-01
380  0.25590374092E-01
360  0.30202758175E-01
370  0.27925893128E-01
400  0.20747645807E-01
410  0.18242502605E-01
390  0.23197276006E-01
430  0.13069616440E-01
420  0.10403775851E-01
440  0.10403775851E-01
460  0.49178595907E-02
470  0.20995320687E-02
450  0.20995320687E-02
480  -0.76791686956E-03
490  -0.36836730064E-02
500  -0.66469448256E-02
510  -0.96569628178E-02
520  -0.18960114423E-01
540  -0.15814265190E-01
530  -0.15814265190E-01
550  -0.22149838212E-01
560  -0.25382766942E-01
570  -0.28658249045E-01
600  -0.38733757916E-01
580  -0.31975650386E-01
590  -0.35334353680E-01
640  -0.52726903326E-01
620  -0.42173277806E-01
610  -0.42173277806E-01
630  -0.42173277806E-01
660  -0.56321329161E-01
650  -0.56321329161E-01
670  -0.63621900457E-01
680  -0.67327055260E-01
700  -0.74844716814E-01
690  -0.71068149258E-01
730  -0.86382769945E-01
710  -0.78656303471E-01
720  -0.78656303471E-01
760  -0.98224354508E-01
750  -0.94244122952E-01
740  -0.90296793497E-01
780  -0.10628195431E+00
800  -0.11035855968E+00
790  -0.11035855968E+00
770  -0.10223709354E+00
820  
830  -0.12697517114E+00
810  -0.11860553716E+00
850  -0.13546472837E+00
860  -0.13546472837E+00
840  -0.13120512563E+00
890  -0.15279324454E+00
870  -0.14407158993E+00
880  -0.14407158993E+00
900  -0.15719636236E+00
920  -0.16608571816E+00
910  -0.16162728234E+00
940  -0.17508402000E+00
930  
950  -0.18418908718E+00
960  -0.18418908718E+00
990  -0.19804230566E+00
970  -0.18878099911E+00
980  -0.19339882194E+00
1000  -0.20271120493E+00
