# T[K]   Fvib[eV/atom]
30  0.70589450225E-01
10  0.70596672246E-01
20  0.70596672246E-01
50  0.70521014271E-01
40  0.70567588204E-01
60  0.70440169419E-01
100  0.69618166514E-01
70  0.70316473319E-01
80  0.70142386073E-01
90  0.69911424911E-01
120  0.68828113385E-01
130  0.68325267432E-01
110  0.68325267432E-01
140  0.67747804230E-01
160  0.67747804230E-01
150  0.67094471778E-01
180  0.64673889277E-01
190  
170  0.65557663164E-01
210  0.61565115762E-01
220  0.60378612941E-01
200  0.62677018256E-01
250  0.56381066895E-01
260  0.56381066895E-01
240  0.57785562413E-01
230  0.59118429362E-01
290  0.50069058497E-01
270  0.50069058497E-01
280  0.51748890996E-01
300  
320  0.44638265043E-01
310  0.46512608026E-01
350  0.38644139893E-01
330  0.42701340370E-01
340  0.40702937086E-01
360  0.36526013448E-01
380  0.32115924161E-01
370  0.34349601130E-01
390  0.29825981019E-01
410  0.25081174499E-01
420  0.27480747086E-01
400  0.27480747086E-01
440  0.14957730110E-01
450  0.14957730110E-01
430  0.14957730110E-01
480  0.68378337438E-02
460  0.12299939231E-01
470  0.95930420810E-02
510  -0.17100164149E-02
490  0.40350885051E-02
500  0.11855603690E-02
540  -0.10665981208E-01
530  -0.76364744825E-02
520  -0.76364744825E-02
550  -0.13738786394E-01
560  -0.16854246523E-01
570  -0.20011734642E-01
580  -0.23210639850E-01
610  -0.33049979424E-01
590  -0.26450366803E-01
600  -0.29730335221E-01
630  -0.39806102666E-01
620  -0.36408747860E-01
640  -0.43241519228E-01
670  -0.53771083326E-01
660  -0.53771083326E-01
650  -0.46714485762E-01
700  -0.64625503413E-01
690  -0.64625503413E-01
680  -0.57353751337E-01
730  -0.75792526085E-01
720  -0.72036172887E-01
740  -0.68313691086E-01
710  -0.68313691086E-01
760  -0.87260729260E-01
750  -0.83405203544E-01
770  -0.83405203544E-01
780  -0.95068224413E-01
790  -0.99019447075E-01
800  -0.10300183542E+00
820  -0.11105870253E+00
830  -0.11105870253E+00
810  -0.10701503591E+00
840  -0.11923608632E+00
850  -0.12336914708E+00
860  -0.12753136073E+00
870  -0.13172241566E+00
880  -0.13172241566E+00
900  -0.14446560533E+00
890  -0.14446560533E+00
920  -0.15309983382E+00
910  -0.15309983382E+00
930  -0.15745773292E+00
940  -0.16184245869E+00
950  -0.17069133160E+00
960  -0.17069133160E+00
970  -0.17515496185E+00
990  -0.18415935358E+00
980  -0.17964438471E+00
1000  -0.18869962637E+00
