# T[K]   Fvib[eV/atom]
40  0.71816357575E-01
20  0.71845936826E-01
30  0.71838721621E-01
10  0.71838721621E-01
60  0.71684664238E-01
50  0.71768276380E-01
70  0.71556961498E-01
90  0.71141145358E-01
80  0.71377844967E-01
100  0.70841772622E-01
120  0.70475635745E-01
130  0.70475635745E-01
110  0.70475635745E-01
150  0.68290962429E-01
160  0.67557456560E-01
140  0.67557456560E-01
180  
190  0.66747850686E-01
200  0.66747850686E-01
170  0.66747850686E-01
220  0.61568173505E-01
210  0.62753064321E-01
230  0.60310438045E-01
250  0.57580376081E-01
260  0.56110142048E-01
240  0.58980830003E-01
280  0.52964718414E-01
290  0.51291753093E-01
270  0.51291753093E-01
310  0.47750894966E-01
320  0.45885218381E-01
300  0.49553441101E-01
330  0.43957502718E-01
350  0.39920242149E-01
360  0.37812796557E-01
340  0.41968824278E-01
380  0.33425374518E-01
390  0.31147374748E-01
370  0.35647507633E-01
410  0.26427575253E-01
400  0.26427575253E-01
420  0.23987620027E-01
440  
450  0.16358135171E-01
430  0.16358135171E-01
480  0.82817535657E-02
460  0.13714585335E-01
470  0.11022197308E-01
510  0.26597288393E-02
500  0.26597288393E-02
490  0.26597288393E-02
520  -0.31456223181E-02
530  -0.12185282758E-01
550  -0.12185282758E-01
540  -0.12185282758E-01
560  
570  -0.18425200743E-01
580  -0.21607344406E-01
590  -0.24830154758E-01
610  -0.31395494533E-01
600  -0.31395494533E-01
620  -0.38116798043E-01
630  -0.38116798043E-01
640  -0.38116798043E-01
670  -0.52010666618E-01
660  -0.48482036305E-01
680  -0.55575277110E-01
650  -0.55575277110E-01
710  -0.66480439578E-01
700  -0.59175407442E-01
690  -0.59175407442E-01
730  -0.73922288963E-01
720  -0.70184473024E-01
740  -0.70184473024E-01
750  -0.81497637839E-01
770  -0.89203315336E-01
760  -0.89203315336E-01
780  -0.97036288697E-01
790  -0.10099959933E+00
800  -0.10099959933E+00
840  -0.11715689110E+00
810  -0.10901811223E+00
820  -0.10901811223E+00
830  -0.11307263409E+00
860  -0.12958487760E+00
870  -0.12958487760E+00
850  -0.12958487760E+00
890  -0.13801313157E+00
880  -0.14226924460E+00
900  -0.14226924460E+00
930  -0.14655296515E+00
910  -0.14655296515E+00
920  -0.15086401282E+00
940  -0.15956699482E+00
960  -0.16395839479E+00
950  -0.16395839479E+00
980  -0.17728912901E+00
1000  -0.18630424065E+00
990  -0.17281971433E+00
970  -0.17281971433E+00
