# T[K]   Fvib[eV/atom]
20  0.73099118297E-01
30  0.73091918300E-01
10  0.73100416864E-01
40  0.73069963666E-01
70  0.72818046619E-01
60  0.73023098116E-01
50  0.73023098116E-01
80  
90  0.72124831331E-01
100  0.72124831331E-01
110  0.71769580422E-01
130  0.71769580422E-01
120  0.71346083448E-01
150  
140  0.70285127784E-01
160  0.68929675448E-01
170  0.68139868752E-01
180  0.67275200265E-01
190  0.66335905323E-01
200  
210  0.61843627001E-01
230  0.61843627001E-01
220  0.63075497670E-01
250  0.59167653869E-01
240  0.60540686408E-01
260  0.60540686408E-01
270  0.56215424037E-01
280  0.56215424037E-01
290  0.52995393343E-01
310  0.51287650305E-01
300  0.51287650305E-01
320  0.47682106729E-01
350  0.41814581988E-01
330  0.45786443358E-01
340  0.43830256895E-01
370  0.37608817688E-01
360  0.35420706161E-01
380  0.35420706161E-01
390  0.33177060216E-01
420  0.26122190251E-01
410  0.26122190251E-01
400  0.30878817843E-01
440  0.21157904473E-01
430  
450  0.18600010463E-01
480  0.10633008508E-01
470  0.13336780647E-01
460  0.15992705263E-01
500  0.50849123251E-02
510  0.22420364677E-02
490  0.78821412716E-02
540  -0.65535936352E-02
530  
550  -0.64578962665E-03
520  -0.64578962665E-03
560  -0.12633270902E-01
580  -0.18879852463E-01
570  -0.18879852463E-01
590  -0.22064246949E-01
610  -0.28552400216E-01
600  -0.28552400216E-01
640  -0.38574923374E-01
620  
630  -0.35196076197E-01
660  -0.45444121894E-01
670  -0.48933503250E-01
650  -0.48933503250E-01
700  -0.59615192052E-01
680  -0.52458778329E-01
690  -0.56019490088E-01
710  -0.63245447991E-01
730  -0.70607926225E-01
720  -0.66909831604E-01
740  -0.66909831604E-01
760  -0.81900447824E-01
770  -0.85729402369E-01
750  -0.78103628217E-01
790  -0.93482233486E-01
800  -0.93482233486E-01
780  -0.89590119151E-01
830  -0.10935764047E+00
810  -0.10935764047E+00
820  -0.10534343041E+00
850  -0.11747479874E+00
840  -0.11340153699E+00
860  -0.11340153699E+00
870  -0.12570816539E+00
890  -0.13405529775E+00
900  -0.13405529775E+00
880  -0.12986765972E+00
920  -0.14678419834E+00
910  -0.14251384903E+00
930  -0.15108156315E+00
940  -0.15540567482E+00
960  -0.15975626978E+00
950  -0.15975626978E+00
980  -0.17296439188E+00
970  -0.16853587980E+00
990  -0.17741838103E+00
1000  -0.18189760709E+00
