# T[K]   Fvib[eV/atom]
30  0.66729796162E-01
10  0.66739026381E-01
20  0.66737603602E-01
50  0.66572758321E-01
60  0.66572758321E-01
40  0.66706468850E-01
80  0.66262170761E-01
90  0.66443695293E-01
70  0.66443695293E-01
120  0.64888789928E-01
100  0.65714975165E-01
110  0.65714975165E-01
160  0.62308762816E-01
130  
140  0.63757709491E-01
150  0.63073384736E-01
170  0.61463608304E-01
180  0.61463608304E-01
190  0.59532512988E-01
210  0.57284267803E-01
220  0.56043352477E-01
200  0.56043352477E-01
240  0.53333243531E-01
230  0.54725963527E-01
250  0.54725963527E-01
260  0.50326631833E-01
270  0.48715226852E-01
280  0.48715226852E-01
310  0.41578403567E-01
300  0.43463772244E-01
290  0.45282533660E-01
320  0.39627660886E-01
350  
340  0.37612758184E-01
330  0.37612758184E-01
360  
380  0.26616708018E-01
370  0.26616708018E-01
400  0.21808952473E-01
390  0.24241005540E-01
410  0.19321557642E-01
430  0.14184644299E-01
420  0.11537010927E-01
440  0.11537010927E-01
480  0.88378070498E-02
450  0.88378070498E-02
470  0.32881803423E-02
460  0.60879118788E-02
490  -0.24574896767E-02
510  -0.54018338918E-02
500  -0.54018338918E-02
540  -0.17638343617E-01
530  
520  -0.11429718507E-01
560  -0.27278107209E-01
570  -0.27278107209E-01
550  -0.20808687293E-01
600  -0.37294603592E-01
590  -0.30575904692E-01
580  -0.30575904692E-01
610  -0.40714324535E-01
630  -0.47671671774E-01
620  
640  -0.51208206318E-01
650  -0.54782609911E-01
660  -0.58394370386E-01
670  -0.62042988258E-01
680  -0.65727976305E-01
700  -0.65727976305E-01
690  -0.69448859157E-01
710  -0.76996464752E-01
720  -0.76996464752E-01
730  -0.84682224732E-01
740  -0.92502724983E-01
750  -0.92502724983E-01
760  -0.92502724983E-01
790  -0.10045470708E+00
770  -0.10045470708E+00
780  -0.10447902572E+00
800  -0.10447902572E+00
820  -0.12088980474E+00
810  -0.11674080386E+00
830  -0.12506909612E+00
840  -0.12927834095E+00
860  -0.13351720931E+00
850  -0.13351720931E+00
880  -0.14640835841E+00
890  -0.15076255641E+00
870  -0.14208253114E+00
910  -0.15955488084E+00
900  -0.15514482771E+00
920  -0.15514482771E+00
940  -0.17294890198E+00
930  
960  
950  -0.17746728068E+00
980  -0.19117983238E+00
970  -0.19117983238E+00
990  -0.19580230710E+00
1000  -0.20045018184E+00
