# T[K]   Fvib[eV/atom]
40  0.74341536292E-01
20  0.74372134122E-01
10  0.74364534763E-01
30  0.74364534763E-01
50  0.74292734246E-01
60  0.74208629738E-01
70  0.74081082651E-01
80  0.73903211523E-01
90  0.73669241667E-01
100  0.73669241667E-01
120  0.72587427269E-01
110  0.73014805147E-01
130  0.72089948841E-01
150  0.70878514857E-01
140  0.70162732258E-01
160  0.70162732258E-01
180  0.68509393148E-01
190  0.67572063002E-01
170  0.69373028422E-01
200  0.66561472767E-01
220  0.64323007429E-01
230  0.64323007429E-01
210  0.65478215130E-01
260  0.60434186444E-01
250  0.60434186444E-01
240  0.60434186444E-01
280  0.55930731854E-01
270  0.57498488457E-01
290  0.57498488457E-01
310  0.50840386479E-01
320  0.50840386479E-01
300  0.52600630485E-01
340  0.45191373849E-01
350  0.43189017267E-01
360  0.41128652155E-01
330  0.47134729138E-01
390  0.34609166773E-01
370  0.39011253904E-01
380  0.39011253904E-01
410  0.32326333902E-01
400  
420  0.27601580269E-01
440  0.22670461996E-01
450  0.20129597934E-01
430  0.25161395349E-01
460  0.12215304314E-01
480  0.12215304314E-01
470  0.12215304314E-01
500  0.67035722767E-02
520  0.10101119033E-02
490  0.94825042797E-02
510  0.38792125753E-02
530  -0.19030601199E-02
540  -0.48596505431E-02
550  -0.48596505431E-02
560  -0.17107695860E-01
580  -0.17107695860E-01
570  -0.13983643441E-01
590  -0.20272136527E-01
600  -0.23476403298E-01
610  -0.23476403298E-01
640  -0.36680957827E-01
620  
630  -0.33322741112E-01
660  -0.43508541660E-01
680  -0.46976947910E-01
670  -0.46976947910E-01
650  -0.40076386716E-01
710  -0.61203970183E-01
690  -0.54020670165E-01
700  -0.57595090503E-01
740  -0.72233184107E-01
720  -0.64846886384E-01
730  -0.68523425749E-01
750  -0.75975766200E-01
770  -0.83557863529E-01
760  -0.79750785415E-01
800  -0.87396630466E-01
780  -0.87396630466E-01
790  -0.87396630466E-01
810  -0.10306145681E+00
820  -0.10306145681E+00
840  -0.10306145681E+00
830  -0.10705338550E+00
850  -0.11512580329E+00
860  -0.11920566022E+00
870  -0.12331420496E+00
900  -0.13580899034E+00
890  -0.13161616172E+00
880  -0.12745113698E+00
920  -0.14427693179E+00
930  -0.14855149438E+00
910  -0.14002933962E+00
940  -0.15285276007E+00
960  -0.16153435650E+00
950  -0.15718046658E+00
990  -0.17475062338E+00
1000  -0.17920676629E+00
980  -0.17031968065E+00
970  -0.16591417719E+00
