# T[K]   Fvib[eV/atom]
30  0.65270758647E-01
20  0.65278733442E-01
10  0.65280165158E-01
50  0.65196101275E-01
60  0.65108614126E-01
40  0.65246765026E-01
70  0.64975012980E-01
90  0.64537487670E-01
80  0.64787016997E-01
120  0.63366277038E-01
100  0.63831306174E-01
110  0.63831306174E-01
160  0.60706016146E-01
150  0.61493478172E-01
130  0.62822741050E-01
140  0.62822741050E-01
190  0.57851587654E-01
170  0.59836342816E-01
180  0.58884692753E-01
210  0.55544168475E-01
220  0.54271822750E-01
200  0.56737773356E-01
250  0.49994142757E-01
240  0.51495568005E-01
230  0.51495568005E-01
260  0.48418904999E-01
270  0.46771169300E-01
280  0.45052256372E-01
310  0.39481581704E-01
300  0.41406161540E-01
290  0.43263484281E-01
320  0.43263484281E-01
340  0.33316930006E-01
330  0.35435726155E-01
350  0.35435726155E-01
380  0.26591394652E-01
360  0.26591394652E-01
370  0.26591394652E-01
400  0.19335880902E-01
390  0.16804610577E-01
410  0.16804610577E-01
440  0.88865277625E-02
430  0.11578973833E-01
420  0.14218650291E-01
470  0.50164233559E-03
450  0.33469806372E-02
460  0.33469806372E-02
480  -0.23929386678E-02
510  -0.11364048750E-01
500  -0.83265703204E-02
490  -0.53359419847E-02
530  -0.14447624004E-01
540  -0.14447624004E-01
520  -0.14447624004E-01
570  -0.30532016179E-01
550  -0.23967708084E-01
560  -0.27228546593E-01
590  -0.37264315059E-01
580  -0.33877479200E-01
600  -0.40691919624E-01
630  -0.51213539466E-01
640  -0.54798487449E-01
620  -0.47667097294E-01
610  -0.47667097294E-01
660  -0.62081794612E-01
670  -0.58421411343E-01
650  -0.58421411343E-01
680  -0.69512937246E-01
690  -0.69512937246E-01
700  -0.77088033548E-01
720  -0.80928402619E-01
710  -0.80928402619E-01
730  -0.88712555847E-01
750  -0.96631748213E-01
740  -0.92655480713E-01
760  -0.10064095321E+00
780  -0.11699936262E+00
800  -0.11699936262E+00
790  -0.11286227859E+00
770  -0.10468269979E+00
810  -0.12116749133E+00
830  -0.12959547490E+00
820  -0.12959547490E+00
840  -0.13385464467E+00
860  -0.14246168167E+00
850  -0.13814348849E+00
880  -0.15118485094E+00
870  -0.14680890628E+00
890  -0.14680890628E+00
900  -0.16002168657E+00
910  -0.16002168657E+00
920  -0.16896982165E+00
930  -0.18259576153E+00
950  -0.18259576153E+00
960  -0.17802698260E+00
940  -0.17802698260E+00
980  -0.19645972369E+00
990  -0.20113273513E+00
970  -0.19181238981E+00
1000  -0.20583117830E+00
