# T[K]   Fvib[eV/atom]
30  0.71725630205E-01
20  0.71732828710E-01
10  0.71734120240E-01
50  0.71703700856E-01
60  0.71703700856E-01
40  0.71703700856E-01
70  0.71451631067E-01
90  0.71046506700E-01
100  0.70753928095E-01
80  0.70753928095E-01
130  0.69467634516E-01
120  0.69967420607E-01
110  0.70395344268E-01
160  0.67521772007E-01
150  0.68245788762E-01
140  0.68245788762E-01
170  0.66721790260E-01
180  0.66721790260E-01
190  0.64894215727E-01
200  0.63867375457E-01
220  0.61590803546E-01
230  0.60342737175E-01
210  0.60342737175E-01
260  0.56171065586E-01
250  
240  0.59022739380E-01
280  0.53044352532E-01
290  0.53044352532E-01
270  0.54641538144E-01
320  0.46001323945E-01
300  0.49651468653E-01
310  0.47858000435E-01
350  0.40062898320E-01
340  0.42102703200E-01
330  0.44082532137E-01
370  0.35807510620E-01
360  0.37964159971E-01
390  0.31324463429E-01
380  0.31324463429E-01
420  0.24189889304E-01
410  0.26621507602E-01
400  0.26621507602E-01
440  0.19170828346E-01
430  0.21706039811E-01
450  0.16585102374E-01
460  0.13949687929E-01
470  
480  0.85329929279E-02
490  0.57532609139E-02
500  0.29269384367E-02
510  0.54750772821E-04
530  -0.58244120416E-02
520  -0.88300281533E-02
540  -0.88300281533E-02
550  -0.88300281533E-02
580  -0.21277666124E-01
560  -0.14970061874E-01
570  -0.18103222091E-01
590  -0.27748061765E-01
600  -0.27748061765E-01
610  -0.27748061765E-01
620  -0.37749012767E-01
630  -0.37749012767E-01
640  -0.37749012767E-01
670  -0.51612808096E-01
660  -0.48091665148E-01
650  -0.48091665148E-01
700  -0.62390400808E-01
680  -0.55169950592E-01
710  -0.55169950592E-01
690  -0.58762631591E-01
740  -0.77243712322E-01
730  -0.73479889360E-01
720  -0.69749454554E-01
770  -0.88731541708E-01
760  -0.84869926528E-01
750  -0.81040522163E-01
780  -0.92624992386E-01
800  -0.10050593940E+00
790  -0.96549911379E-01
820  -0.10850992345E+00
810  -0.11255719832E+00
830  -0.11255719832E+00
840  
860  -0.12904056155E+00
870  -0.12904056155E+00
850  -0.12074066366E+00
900  -0.13323340118E+00
890  -0.13323340118E+00
880  -0.13323340118E+00
920  
910  -0.14597992582E+00
930  -0.14597992582E+00
940  -0.15897250511E+00
960  -0.16776730302E+00
950  -0.16335677115E+00
970  
980  -0.17666614895E+00
990  -0.17666614895E+00
1000  -0.18566705869E+00
