# T[K]   Fvib[eV/atom]
20  0.68303809337E-01
30  0.68305092451E-01
10  0.68305092451E-01
40  0.68274055071E-01
50  0.68226057590E-01
60  0.68142603443E-01
70  0.68014769678E-01
100  0.67292166216E-01
80  0.67595704818E-01
90  0.67595704818E-01
120  0.66474517879E-01
130  0.65954315409E-01
110  0.65954315409E-01
160  0.65357152832E-01
140  0.65357152832E-01
150  0.64681829613E-01
180  0.62182242984E-01
190  0.63094442813E-01
170  0.63094442813E-01
220  0.57754420154E-01
210  0.58976705059E-01
200  0.60122686147E-01
250  0.53640176267E-01
230  0.56456839230E-01
260  0.52123406796E-01
240  0.55085045420E-01
290  0.47153739610E-01
280  0.48878974931E-01
270  0.50535935823E-01
300  0.45361442172E-01
320  0.45361442172E-01
310  0.43503286111E-01
350  0.35435613493E-01
340  0.37545482042E-01
330  0.39594142286E-01
360  
370  0.31036665774E-01
380  0.31036665774E-01
400  0.24006126664E-01
420  
410  0.21551448197E-01
390  0.21551448197E-01
430  0.16481138138E-01
440  0.13867350800E-01
450  0.13867350800E-01
460  0.84869398990E-02
470  0.57220168346E-02
480  0.29083775920E-02
490  0.46816135393E-04
500  -0.28618950227E-02
510  -0.58170042152E-02
520  -0.88177800118E-02
530  -0.11863510613E-01
540  -0.11863510613E-01
550  -0.21263595174E-01
560  -0.21263595174E-01
570  -0.24482398798E-01
580  -0.27742872012E-01
590  -0.31044408550E-01
600  -0.34386417805E-01
610  -0.37768324322E-01
630  -0.44649600106E-01
620  -0.41189567299E-01
640  -0.48147889822E-01
670  -0.58867167527E-01
660  -0.55257174166E-01
650  -0.55257174166E-01
680  -0.62513414445E-01
700  -0.69912796935E-01
690  -0.66195444106E-01
710  -0.81272359723E-01
730  -0.81272359723E-01
740  -0.85126621823E-01
720  -0.77451687821E-01
760  -0.92934291637E-01
770  -0.96886909714E-01
750  -0.89014065562E-01
800  
780  -0.10488780371E+00
790  -0.10488780371E+00
830  -0.12126205329E+00
820  -0.11712281188E+00
810  -0.11301379388E+00
860  -0.13385780479E+00
850  -0.12543118331E+00
840  -0.12543118331E+00
870  -0.13811466086E+00
890  -0.14671392356E+00
900  -0.14671392356E+00
880  -0.14240013437E+00
920  -0.15982225740E+00
930  -0.15542527205E+00
910  -0.15542527205E+00
960  -0.17767916775E+00
940  -0.16869745730E+00
950  -0.16869745730E+00
980  -0.18676530578E+00
970  -0.18220931044E+00
990  -0.19134690547E+00
1000  -0.19595386575E+00
