# T[K]   Fvib[eV/atom]
10  0.67123293413E-01
30  0.67114756234E-01
20  0.67122021592E-01
50  0.67044686951E-01
40  0.67092449525E-01
60  0.66961486746E-01
70  0.66413577517E-01
90  0.66413577517E-01
80  0.66653437157E-01
130  0.64759492482E-01
100  0.65284492439E-01
120  0.65284492439E-01
110  0.65284492439E-01
140  0.62711342451E-01
160  
150  0.63473857731E-01
170  0.61868586770E-01
180  0.61868586770E-01
190  0.59943192185E-01
200  0.58861623749E-01
220  0.56464813822E-01
210  0.57701845611E-01
230  0.55151585676E-01
250  0.53763293086E-01
240  0.53763293086E-01
260  0.50766290442E-01
270  0.49160043804E-01
280  0.47483634429E-01
290  0.47483634429E-01
320  0.40101355770E-01
300  0.43925341977E-01
310  0.42045947073E-01
350  0.33888338522E-01
330  0.36021380160E-01
340  0.36021380160E-01
360  0.31694782484E-01
370  
380  0.27130537788E-01
400  0.22337202230E-01
410  0.24761988278E-01
390  0.24761988278E-01
440  0.12095354309E-01
450  0.94039044441E-02
430  0.14735321074E-01
420  0.14735321074E-01
480  0.10292848595E-02
460  0.38700306262E-02
470  0.38700306262E-02
500  -0.47958005493E-02
490  -0.18595863757E-02
510  -0.77785965875E-02
520  -0.10807234222E-01
540  -0.16999173365E-01
530  -0.13880993343E-01
560  -0.23366087640E-01
570  -0.26613512766E-01
550  -0.20161092599E-01
580  -0.29902739361E-01
600  -0.36604164609E-01
590  -0.33233155341E-01
610  -0.40015186521E-01
630  -0.46955019879E-01
640  -0.50482742740E-01
620  -0.43465655368E-01
660  -0.61290887981E-01
670  -0.61290887981E-01
650  -0.54048300130E-01
680  -0.64966934299E-01
690  -0.68678846037E-01
700  -0.72426160419E-01
730  -0.83876055050E-01
720  -0.80025200825E-01
710  -0.80025200825E-01
770  -0.91678327552E-01
750  -0.91678327552E-01
760  -0.95628933096E-01
740  -0.87760567643E-01
790  -0.10767394122E+00
780  -0.10362711948E+00
800  -0.10362711948E+00
820  -0.12000093950E+00
810  -0.11586120638E+00
830  -0.11586120638E+00
860  -0.13685927121E+00
850  -0.13260043727E+00
840  -0.12837088786E+00
890  -0.14980835401E+00
870  -0.14114707384E+00
880  -0.14114707384E+00
910  -0.15858187718E+00
900  -0.15418123148E+00
930  -0.16746533766E+00
920  -0.16746533766E+00
960  -0.17645651939E+00
950  -0.17645651939E+00
940  -0.17194759851E+00
990  -0.19475360106E+00
970  -0.18555329095E+00
980  -0.18555329095E+00
1000  -0.19939196287E+00
