# T[K]   Fvib[eV/atom]
30  0.68928425641E-01
20  0.68935448670E-01
10  0.68936695316E-01
50  0.68860044902E-01
60  0.68778475412E-01
40  0.68906741407E-01
80  0.68476269494E-01
70  0.68653153925E-01
90  0.68241118870E-01
100  0.67942118106E-01
120  0.66621866811E-01
130  0.66621866811E-01
110  0.67574764941E-01
150  0.65364256448E-01
140  0.64618418680E-01
160  0.64618418680E-01
170  0.63794064112E-01
190  0.61910413669E-01
180  0.62891275751E-01
220  0.58505999732E-01
200  0.60852057261E-01
210  0.59716957812E-01
240  0.57220168973E-01
230  0.57220168973E-01
250  0.54428191828E-01
260  0.54428191828E-01
270  0.51350083958E-01
280  0.49706684619E-01
290  0.47995317491E-01
320  0.42465322369E-01
310  0.44373454814E-01
300  0.46217178301E-01
350  0.36365970045E-01
330  0.40493940370E-01
340  0.38460449579E-01
360  
370  0.31998412566E-01
380  0.29727459375E-01
390  0.27399765727E-01
410  0.22578135886E-01
400  0.25016332543E-01
420  0.20086127065E-01
440  0.14944355905E-01
450  0.12296374970E-01
430  0.12296374970E-01
480  0.40542495852E-02
460  0.40542495852E-02
470  0.68505002936E-02
490  0.12101820773E-02
500  
510  -0.46183538409E-02
540  -0.13701251596E-01
520  -0.13701251596E-01
530  -0.10629210495E-01
580  -0.26418054486E-01
570  -0.16816801005E-01
550  -0.16816801005E-01
560  -0.16816801005E-01
610  -0.36388373062E-01
600  -0.33024906290E-01
590  -0.29701275834E-01
640  -0.46712278276E-01
620  -0.39791117877E-01
630  -0.43232596498E-01
660  -0.53784193991E-01
650  
670  -0.57375430651E-01
700  -0.68364522304E-01
680  -0.61002875104E-01
690  -0.64666058290E-01
740  -0.83502399199E-01
720  -0.72097820035E-01
730  -0.79667180123E-01
710  -0.79667180123E-01
760  -0.91271878876E-01
770  -0.95205352281E-01
750  -0.87370764801E-01
800  -0.10719616500E+00
790  -0.10316786342E+00
780  -0.99170804509E-01
820  -0.11534507914E+00
830  -0.11946500208E+00
810  -0.11125535308E+00
850  -0.12779410977E+00
860  -0.12361478794E+00
840  -0.12361478794E+00
870  -0.13624008711E+00
880  -0.14050612174E+00
890  
900  -0.14912277750E+00
920  -0.15785027746E+00
910  -0.15347281441E+00
930  -0.16225488867E+00
940  -0.16668637545E+00
960  -0.17562891131E+00
950  -0.17114447043E+00
980  -0.18467580623E+00
970  -0.18013944076E+00
990  -0.18923775989E+00
1000  -0.19382505844E+00
