# T[K]   Fvib[eV/atom]
20  0.67966539196E-01
30  0.67959041826E-01
10  0.67967920035E-01
60  0.67807218001E-01
50  0.67889251603E-01
40  0.67936633166E-01
90  0.67269156878E-01
80  0.67269156878E-01
70  0.67681648537E-01
110  0.66601110441E-01
120  0.66160184612E-01
100  0.66969553925E-01
130  0.65644054990E-01
160  0.63628363334E-01
150  0.64379133471E-01
140  0.64379133471E-01
170  0.62798214039E-01
190  0.60900429620E-01
180  0.61888776917E-01
220  0.57468804447E-01
210  0.58689595330E-01
200  0.59833775748E-01
240  
230  0.56172422400E-01
250  0.53357323607E-01
280  0.48596588614E-01
260  0.51840946627E-01
270  0.50253626647E-01
290  0.46871060953E-01
320  0.41295735801E-01
300  0.41295735801E-01
310  0.43219426184E-01
340  0.37258526570E-01
330  0.39308381268E-01
350  0.35147313608E-01
360  0.32975860718E-01
370  0.30745261621E-01
380  0.28456584736E-01
400  0.23709142577E-01
410  
390  0.26110872775E-01
420  0.18741565724E-01
450  0.10894010290E-01
430  0.10894010290E-01
440  0.13561475685E-01
480  0.25922594916E-02
460  0.81760943972E-02
470  0.81760943972E-02
500  -0.31835576728E-02
510  -0.61415326882E-02
490  -0.61415326882E-02
520  -0.91452325906E-02
530  -0.12193942753E-01
540  -0.15286967750E-01
550  -0.18423630754E-01
570  -0.21603272943E-01
560  -0.21603272943E-01
590  -0.31393744388E-01
600  -0.34739055194E-01
580  -0.38124301359E-01
610  -0.38124301359E-01
640  -0.48514098341E-01
620  -0.41548920431E-01
630  -0.45012364224E-01
660  -0.55630366228E-01
650  -0.59243896162E-01
670  -0.59243896162E-01
700  -0.70300300440E-01
690  -0.62893707918E-01
680  -0.62893707918E-01
720  -0.77846501652E-01
710  -0.77846501652E-01
730  -0.81670863951E-01
750  -0.89420016695E-01
770  -0.97300390580E-01
740  -0.93343997663E-01
760  -0.93343997663E-01
800  -0.10936025940E+00
780  -0.10128881308E+00
790  -0.10530889126E+00
820  
830  -0.11344255974E+00
810  -0.11344255974E+00
850  -0.13007419242E+00
860  -0.13430604884E+00
840  -0.12587159038E+00
880  -0.14285627174E+00
890  -0.14717402761E+00
870  -0.13856684476E+00
900  -0.15151981622E+00
930  -0.15589334736E+00
910  -0.15589334736E+00
920  -0.16029433651E+00
950  -0.17365928961E+00
940  -0.17365928961E+00
960  -0.17816737483E+00
990  -0.18726163987E+00
980  -0.18726163987E+00
970  -0.18270157603E+00
1000  -0.19645836564E+00
