# T[K]   Fvib[eV/atom]
10  0.68625266344E-01
20  0.68625266344E-01
30  0.68617999859E-01
50  0.68548536496E-01
60  0.68466661312E-01
40  0.68466661312E-01
70  0.68341473126E-01
90  0.68165229583E-01
80  0.68165229583E-01
120  0.67633758804E-01
110  0.67633758804E-01
100  0.67633758804E-01
130  0.67633758804E-01
150  0.65066866884E-01
140  0.65732096941E-01
160  0.64323341903E-01
180  
190  0.61621654835E-01
170  0.63501216742E-01
210  0.59431665566E-01
200  0.60565116123E-01
220  0.58222179994E-01
230  0.55579109901E-01
240  0.55579109901E-01
250  0.54147703568E-01
260  0.52644579809E-01
270  
280  0.47716800710E-01
290  0.47716800710E-01
320  0.42186591172E-01
310  0.44094944893E-01
300  0.45938741848E-01
330  0.40214846118E-01
340  0.38180856480E-01
350  0.38180856480E-01
370  0.31716566347E-01
360  0.33930624813E-01
380  0.29444628508E-01
400  
390  0.27115842220E-01
410  0.22291722817E-01
430  0.17251955194E-01
440  0.14653515982E-01
450  0.12003891472E-01
420  0.12003891472E-01
480  0.37563836994E-02
460  0.93039408684E-02
470  0.93039408684E-02
490  0.91038270509E-03
510  -0.49222108459E-02
500  -0.19827320833E-02
520  -0.79073238779E-02
540  -0.14011630934E-01
530  -0.14011630934E-01
560  -0.20290195395E-01
550  -0.17129460783E-01
570  -0.23493196827E-01
610  -0.36715683708E-01
590  -0.33349669260E-01
600  -0.33349669260E-01
580  -0.26737843794E-01
630  -0.43565116141E-01
640  -0.47047456262E-01
620  -0.47047456262E-01
670  -0.57718782663E-01
650  -0.50567516064E-01
660  -0.50567516064E-01
690  -0.65015013115E-01
680  -0.61349013951E-01
700  -0.68716321167E-01
720  -0.76223081869E-01
730  -0.80027669398E-01
710  -0.72452489966E-01
740  -0.83865834916E-01
770  -0.95577764260E-01
750  -0.91641276743E-01
760  -0.91641276743E-01
790  
780  -0.10757774260E+00
800  -0.10757774260E+00
830  -0.11985591621E+00
820  -0.11573286315E+00
810  -0.11164002471E+00
850  -0.12819133511E+00
860  -0.13240305272E+00
840  -0.12400884936E+00
880  -0.14091293339E+00
890  -0.14521048720E+00
870  -0.13664368806E+00
910  -0.15388934422E+00
900  -0.14953605402E+00
920  -0.15827007391E+00
930  -0.16267796470E+00
940  -0.16711274364E+00
960  -0.17606190004E+00
950  -0.17606190004E+00
980  -0.18511546155E+00
970  -0.18057575719E+00
990  -0.18968076496E+00
1000  -0.19427142381E+00
